::1 - - [19/Dec/2018:22:30:05 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
::1 - - [19/Dec/2018:22:37:49 +0000] "POST / HTTP/1.1" 404 22 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:37:56 +0000] "POST / HTTP/1.1" 404 22 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:38:30 +0000] "POST /user HTTP/1.1" 404 22 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:39:03 +0000] "POST /user HTTP/1.1" 200 56 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:41:20 +0000] "POST /user HTTP/1.1" 200 56 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:41:27 +0000] "GET /user HTTP/1.1" 200 55 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:41:31 +0000] "PUT /user HTTP/1.1" 200 55 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:49:56 +0000] "POST /user HTTP/1.1" 500 1151 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:52:43 +0000] "POST /user HTTP/1.1" 201 256 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:58:16 +0000] "POST /user HTTP/1.1" 201 264 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:58:28 +0000] "POST /user HTTP/1.1" 500 378 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:58:43 +0000] "POST /user HTTP/1.1" 500 406 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:58:57 +0000] "POST /user HTTP/1.1" 500 378 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:22:59:05 +0000] "POST /user HTTP/1.1" 201 242 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:23:01:03 +0000] "POST /user HTTP/1.1" 200 114 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:23:01:17 +0000] "POST /user HTTP/1.1" 200 114 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:23:03:03 +0000] "POST /user HTTP/1.1" 201 259 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:23:04:25 +0000] "POST /user HTTP/1.1" 500 172 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:23:04:34 +0000] "POST /user HTTP/1.1" 201 254 "-" "PostmanRuntime/7.4.0"
::1 - - [19/Dec/2018:23:05:17 +0000] "GET /user HTTP/1.1" 200 55 "-" "PostmanRuntime/7.4.0"
